Наименование сделки,Курс юаня,Курс $,Наименование,Количество заказанных позиций,Цена в юанях,Масса товара,Source File
"Order-1264, заявка 27.10 Редуктор плавного хода",12.92,94.1,"427-15-19480, Оригинал",1.0,8348.75,7.0,orders
"Order-1435, Оксана, Festo Festo ADVC-16-10-I-P-A цилиндр 188109",13.42,94.1,"Festo ADVC-16-10-I-P-A цилиндр 188109 не верный номер, замена на 8076404 ADN-S-16-10-I-P-A",2.0,90.0,0.079,orders
"Order-1435, Оксана, Festo Festo ADVC-16-10-I-P-A цилиндр 188109",13.42,94.1,EV-40-DP 184860 ,5.0,100.0,0.27,orders
"Order-1435, Оксана, Festo Festo ADVC-16-10-I-P-A цилиндр 188109",13.42,94.1,MSSD-EB 151687 ,1.0,10.0,0.011,orders
"Order-1435, Оксана, Festo Festo ADVC-16-10-I-P-A цилиндр 188109",13.42,94.1,Retainer-finger (5/8) H172459,30.0,40.66,0.043,orders
"Order-1435, Оксана, Festo Festo ADVC-16-10-I-P-A цилиндр 188109",13.42,94.1,39172 Корпус уплотнения (бронзовый),5.0,370.0,1.1,orders
"Order-1437, Сергей, SMC 14.11",12.92,94.1,Комплект для ремонта соленоидного клапана – Диафрагма в сборе VXF-22AA (диаметр проходного сечения 28 мм.),40.0,213.0,0.05,orders
"Order-1437, Сергей, SMC 14.11",12.92,94.1,Festo ADN-80-30-A-P-A ,1.0,355.0,1.3,orders
"Order-1437, Сергей, SMC 14.11",12.92,94.1,1114338,1.0,7866.0,12.16,orders
"Order-1437, Сергей, SMC 14.11",12.92,94.1,YSR-8-8-C34571,20.0,404.0,0.032,orders
"Order-1437, Сергей, SMC 14.11",12.92,94.1,Кольцо стопорное H /25238,100.0,15.0,0.02,orders
"Order-1437, Сергей, SMC 14.11",12.92,94.1,"25239 Кольцо кернорвательное, Н, с желобками",300.0,31.0,0.12,orders
"Order-1434, 86SMC",10.893590504451,90.95,Гидроцилиндр 14МПа SMC CHD2НВ50В-470A,2.0,1685.0,5.0,orders
"Order-1434, 86SMC",10.893590504451,90.95,CY3B25-1500 ,2.0,1900.0,1.36,orders
"Order-1434, 86SMC",10.893590504451,90.95,"423-54-37580 ПРУЖИНА ГАЗОВОГО АМОРТИЗАТОРА, оригинал",4.0,902.2,0.6,orders
"Order-1434, 86SMC",10.893590504451,90.95,YSR-10-10-C191199,20.0,486.0,0.051,orders
"Order-1434, 86SMC",10.893590504451,90.95,FK-M82062,10.0,55.0,0.05,orders
"Order-1434, 86SMC",10.893590504451,90.95,"25237 Корпус кернователя, Н",200.0,39.0,0.37,orders
"Order-1434, 86SMC",10.893590504451,90.95,Переходник релитовый НQ /3545409,20.0,266.0,4.5,orders
"Order-1434, 86SMC",10.893590504451,90.95,"44408 Стабилизатор внутренней трубы, H",100.0,88.0,0.3,orders
"Order-1297, заявка от 01.11",12.92,94.1,шлифмашинка аккумуляторная G3623DA,171.0,10500.0,8.64,orders
